,VKOSPI_Label
NAS 야간변동율,-0.17948196671358366
NAS 당일변동율,-0.07115957425276025
NAS 당일변화량,-0.12043087161457636
S&P 야간변동율,-0.21019896927141624
S&P 당일변동율,-0.1159348461422697
S&P 당일변화량,-0.12271437866985328
VIX 전날변동율,0.1348412031189633
VIX 당일변동율,0.11118113569032691
VIX 당일변화량,0.09652671654944255
VKOSPI_Label,1.0
